style type,consistency,inconsistency,no style
Expression complexity,93.0,845.0,0.0
Continue preferences,303.0,635.0,0.0
Return statements,923.0,15.0,0.0
Comment density,9.0,929.0,0.0
Array declaration style,854.0,84.0,0.0
Check then return preferences,18.0,920.0,0.0
Brace format,921.0,17.0,0.0
Location of local variable declaration,938.0,0.0,0.0
Variable updating,896.0,42.0,0.0
Continuous logic or preferences,29.0,909.0,0.0
Order of if-else bodies,52.0,886.0,0.0
Naming format,920.0,18.0,0.0
Loops,0.0,0.0,938.0
Continuous logic and preferences,40.0,898.0,0.0
Comment syntax,0.0,0.0,938.0
Continuous assignments or calls preferences,938.0,0.0,0.0
One statement a line,935.0,3.0,0.0
Modifiers order,904.0,34.0,0.0
Number of a declaration,23.0,915.0,0.0
Literal usage,0.0,0.0,938.0
Ordering of class contents,869.0,69.0,0.0
Order of function parameters,330.0,608.0,0.0
Check then assign preferences,2.0,936.0,0.0
Space,869.0,69.0,0.0
Line length,2.0,936.0,0.0
Optional brace,401.0,537.0,0.0
Indention,935.0,3.0,0.0
Function complexity,528.0,410.0,0.0
Operator preferences,874.0,64.0,0.0
Mutlibranch,2.0,936.0,0.0
Redundant code,308.0,630.0,0.0
Layout of control statement,86.0,852.0,0.0
Blank line,131.0,807.0,0.0
Increment or decrement preferences,822.0,116.0,0.0
Contain unused local variables,938.0,0.0,0.0
Literal position in bool expression,292.0,646.0,0.0
Assignment statement preferences,114.0,824.0,0.0
